Market Title,Event Period,Status,Yes Price (%),No Price (%),Total Volume ($),24h Volume ($),Liquidity ($),Sub-Markets,Market Type,Created Date,End Date,Slug,URL
US strikes Iran by...?,2026 US Strikes,Closed,0.0,100.0,529033417.45,0.0,10565.06,65,Multi-outcome aggregate,2025-12-20,2026-06-30,us-strikes-iran-by,https://polymarket.com/event/us-strikes-iran-by
Khamenei out as Supreme Leader of Iran by February 28?,2026 US Strikes,Active,99.9,0.1,97148683.77,36397256.45,3459093.55,1,Single binary,2026-01-14,2026-02-28,khamenei-out-as-supreme-leader-of-iran-by-february-28,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-by-february-28
US next strikes Iran on...? (Jan 26-Feb 28),2026 US Strikes,Active,0.0,100.0,54785028.46,573207.25,277275.12,30,Multi-outcome aggregate,2026-01-26,2026-02-28,us-next-strikes-iran-on-843,https://polymarket.com/event/us-next-strikes-iran-on-843
Khamenei out as Supreme Leader of Iran by March 31?,2026 US Strikes,Active,99.9,0.1,54350190.66,15856486.31,3605168.77,1,Single binary,2025-12-11,2026-03-31,khamenei-out-as-supreme-leader-of-iran-by-march-31,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-by-march-31
Israel x Iran ceasefire before July?,June 2025 12-Day War,Closed,100.0,0.0,51779894.20,0.0,0.0,1,Single binary,2025-06-15,2025-06-30,israel-x-iran-ceasefire-before-july,https://polymarket.com/event/israel-x-iran-ceasefire-before-july
Khamenei out as Supreme Leader of Iran by January 31?,2026 US Strikes,Closed,0.0,100.0,49748804.33,0.0,0.0,1,Single binary,2026-01-04,2026-01-31,khamenei-out-as-supreme-leader-of-iran-by-january-31,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-by-january-31
US military action against Iran before July?,June 2025 12-Day War,Closed,100.0,0.0,29917021.25,0.0,0.0,1,Single binary,2025-03-31,2025-06-30,us-military-action-against-iran-before-july,https://polymarket.com/event/us-military-action-against-iran-before-july
Fordow nuclear facility destroyed before July?,June 2025 12-Day War,Closed,100.0,0.0,28623187.18,0.0,0.0,1,Single binary,2025-06-15,2025-06-30,fordow-nuclear-facility-destroyed-before-july,https://polymarket.com/event/fordow-nuclear-facility-destroyed-before-july
US next strikes Iran on...? (Jan 12-31),2026 US Strikes,Closed,0.0,100.0,28513814.89,0.0,0.0,21,Multi-outcome aggregate,2026-01-12,2026-01-31,us-next-strikes-iran-on,https://polymarket.com/event/us-next-strikes-iran-on
US x Iran diplomatic meeting in person by...?,2026 US Strikes,Closed,100.0,0.0,23382785.77,0.0,0.0,2,Multi-outcome aggregate,2026-02-03,2026-02-13,us-x-iran-meeting-by,https://polymarket.com/event/us-x-iran-meeting-by
US/Israel strikes Iran by...?,2026 US Strikes,Active,100.0,0.0,19807823.22,0.0,0.0,29,Multi-outcome aggregate,2026-01-08,2026-12-31,usisrael-strikes-iran-by,https://polymarket.com/event/usisrael-strikes-iran-by
US next strikes Iran on...? (Feb 9-Mar 31),2026 US Strikes,Closed,100.0,0.0,19084082.25,0.0,0.0,33,Multi-outcome aggregate,2026-02-09,2026-03-31,us-next-strikes-iran-on-312,https://polymarket.com/event/us-next-strikes-iran-on-312
Will the US officially declare war on Iran before July?,June 2025 12-Day War,Closed,0.0,100.0,18143784.38,0.0,0.0,1,Single binary,2025-06-13,2025-06-30,will-the-united-states-officially-declare-war-on-iran-before-july,https://polymarket.com/event/will-the-united-states-officially-declare-war-on-iran-before-july
Major cyberattack on Iran in June?,June 2025 12-Day War,Closed,100.0,0.0,17449126.95,0.0,0.0,1,Single binary,2025-06-11,2025-06-30,major-cyberattack-on-iran-in-june,https://polymarket.com/event/major-cyberattack-on-iran-in-june
"Israel strikes Iran by January 31, 2026?",2026 US Strikes,Closed,0.0,100.0,16913391.37,0.0,0.0,1,Single binary,2025-12-22,2026-01-31,israel-strikes-iran-by-january-31-2026,https://polymarket.com/event/israel-strikes-iran-by-january-31-2026
Will the Iranian regime fall by March 31?,2026 US Strikes,Active,23.2,76.8,13162776.75,2707561.22,416249.44,1,Single binary,2025-12-17,2026-03-31,will-the-iranian-regime-fall-by-march-31,https://polymarket.com/event/will-the-iranian-regime-fall-by-march-31
Will the Iranian regime fall by January 31?,2026 US Strikes,Closed,0.0,100.0,11825309.81,0.0,0.0,1,Single binary,2026-01-05,2026-01-31,will-the-iranian-regime-fall-by-january-31,https://polymarket.com/event/will-the-iranian-regime-fall-by-january-31
Khamenei out as Supreme Leader of Iran in 2025?,2025-2026 Ongoing,Closed,0.0,100.0,10993955.92,0.0,0.0,1,Single binary,2024-12-29,2025-12-31,khamenei-out-as-supreme-leader-of-iran-in-2025,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-in-2025
Israel strikes Iran on...?,June 2025 12-Day War,Closed,0.0,100.0,10781618.01,0.0,0.0,17,Multi-outcome aggregate,2025-06-13,2025-06-20,israel-strike-on-iran-on,https://polymarket.com/event/israel-strike-on-iran-on
Israel strike on Iranian nuclear facility in 2024?,2024 Pre-Conflict,Closed,100.0,0.0,10075557.87,0.0,0.0,1,Single binary,2024-10-02,2024-12-31,israel-strike-on-iranian-nuclear-facility-in-2024,https://polymarket.com/event/israel-strike-on-iranian-nuclear-facility-in-2024
Will Khamenei leave Iran by...?,2026 US Strikes,Closed,0.0,100.0,9686929.91,448465.44,0.0,6,Multi-outcome aggregate,2026-01-05,2026-01-09,will-khamenei-leave-iran-by-friday,https://polymarket.com/event/will-khamenei-leave-iran-by-friday
Khamenei out as Supreme Leader of Iran by June 30?,2026 US Strikes,Closed,100.0,0.0,8216307.65,0.0,0.0,1,Single binary,2025-11-03,2026-06-30,khamenei-out-as-supreme-leader-of-iran-by-june-30-747,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-by-june-30-747
Khamenei out as Supreme Leader of Iran by June 30?,June 2025 12-Day War,Closed,0.0,100.0,8130895.81,0.0,0.0,1,Single binary,2024-12-02,2025-06-30,khamenei-out-as-supreme-leader-of-iran-by-june-30,https://polymarket.com/event/khamenei-out-as-supreme-leader-of-iran-by-june-30
Israel military action against Iran before July?,June 2025 12-Day War,Closed,100.0,0.0,4506858.96,0.0,0.0,1,Single binary,2025-03-31,2025-06-30,israel-military-action-against-iran-before-july,https://polymarket.com/event/israel-military-action-against-iran-before-july
Israel military action against Iran by Friday?,June 2025 12-Day War,Closed,100.0,0.0,3937291.17,0.0,0.0,1,Single binary,2025-06-11,2025-06-13,israel-military-action-against-iran-by-friday-477,https://polymarket.com/event/israel-military-action-against-iran-by-friday-477
Will the Iranian regime fall by June 30?,2026 US Strikes,Active,41.5,58.5,4189157.10,1094802.54,503469.36,1,Single binary,2025-12-17,2026-06-30,will-the-iranian-regime-fall-by-june-30,https://polymarket.com/event/will-the-iranian-regime-fall-by-june-30
Iran x Israel conflict ends before July?,June 2025 12-Day War,Closed,100.0,0.0,1122140.32,0.0,0.0,1,Single binary,2025-06-15,2025-06-30,iran-x-israel-conflict-ends-before-july,https://polymarket.com/event/iran-x-israel-conflict-ends-before-july
Khamenei public appearance by...?,2026 US Strikes,Closed,0.0,100.0,1120014.00,543558.84,0.0,7,Multi-outcome aggregate,2026-02-28,2026-03-14,khamenei-public-appearance-by-985,https://polymarket.com/event/khamenei-public-appearance-by-985
New Supreme Leader of Iran by...?,2026 US Strikes,Active,76.5,23.5,1068190.21,955487.70,89757.69,5,Multi-outcome aggregate,2026-02-28,2026-03-31,will-iran-name-a-successor-to-khamenei-by,https://polymarket.com/event/will-iran-name-a-successor-to-khamenei-by
Israel military action against Iran before June?,June 2025 12-Day War,Closed,0.0,100.0,698344.31,0.0,0.0,1,Single binary,2025-05-02,2025-05-31,israel-military-action-against-iran-before-june,https://polymarket.com/event/israel-military-action-against-iran-before-june
Iran x Israel/US conflict ends by...?,2026 US Strikes,Active,8.5,91.5,483591.86,352373.40,62522.05,3,Multi-outcome aggregate,2026-02-28,2026-03-31,iran-x-israelus-conflict-ends-by,https://polymarket.com/event/iran-x-israelus-conflict-ends-by
US recognizes Reza Pahlavi as leader of Iran in 2026?,2026 US Strikes,Active,24.5,75.5,283850.89,51079.56,25228.19,1,Single binary,2026-01-05,2026-12-31,us-recognizes-reza-pahlavi-as-leader-of-iran-in2026,https://polymarket.com/event/us-recognizes-reza-pahlavi-as-leader-of-iran-in2026
Will the U.S. invade Iran before 2027?,2026 US Strikes,Active,20.5,79.5,266003.17,62124.92,33161.04,1,Single binary,2025-11-04,2026-12-31,will-the-us-invade-iran-before-2027,https://polymarket.com/event/will-the-us-invade-iran-before-2027
